Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA,110263.02,17.95,136.06,4.28%,9082173
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,Switzerland,14434.87,14.99,9.79,-0.20%,6571330
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,193807.13,527.1,127.03,5.55%,92775161
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,USA,33586.65,28.71,148.22,1.71%,725929
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,USA,116194.21,14.74,216.93,-0.24%,3081016
AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA,31846.57,15.7,309.13,1.13%,638792
AMT,American Tower Corporation,Real Estate,REIT - Specialty,USA,85081.7,60.67,182.18,-0.21%,2692129
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA,1179941.43,291.53,120.11,4.44%,96641238
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA,48154.54,35.44,170.35,9.06%,8699801
ANSS,"ANSYS, Inc.",Technology,Software - Application,USA,26545.33,50.47,319.4,4.27%,751066
AON,Aon plc,Financial,Insurance Brokers,Ireland,63559.98,24.92,310.67,-0.17%,575806
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,USA,10003.17,42.74,66.67,0.27%,728931
APA,APA Corporation,Energy,Oil & Gas E&P,USA,10276.25,5.4,33.41,0.33%,4308363
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,USA,60445.23,28.15,273.83,0.63%,940851
APH,Amphenol Corporation,Technology,Electronic Components,USA,44017.81,24.78,76.61,3.61%,6398985
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Ireland,24267.04,41.37,92.13,2.70%,2141846
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,USA,19242.32,24.55,111.77,0.49%,865875
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,USA,16593.38,19.54,113.7,-0.99%,885658
ATVI,"Activision Blizzard, Inc.",Communication Services,Electronic Gaming & Multimedia,USA,60644.5,33.47,78.66,1.97%,5243983
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,USA,24207.06,23.57,171.73,0.74%,767580
AVGO,Broadcom Inc.,Technology,Semiconductors,USA,303855.36,27.33,812.73,11.52%,8244737
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,USA,13285.31,19.61,162.97,-0.97%,575174
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,USA,27726.52,31.52,143.46,0.71%,879287
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,14330.77,103.53,194.95,0.51%,708179
AXP,American Express Company,Financial,Credit Services,USA,112288.23,16.47,157.24,4.08%,4015145
AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,USA,45253.93,20.15,2460.79,0.04%,214808
BA,The Boeing Company,Industrials,Aerospace & Defense,USA,120842.19,,203.63,1.37%,3817043
BAC,Bank of America Corporation,Financial,Banks - Diversified,USA,224490.94,8.54,28.31,0.50%,57813148
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,USA,16762.35,37.89,53.81,0.98%,1016920
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,USA,20911.73,,41.29,-0.12%,2695114
BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,Specialty Retail,USA,8388.79,11.76,36.89,0.68%,1956187
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,USA,15586.26,11.8,74.33,4.28%,4690432
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,USA,68666.15,44.32,241.12,-0.27%,840252
BEN,"Franklin Resources, Inc.",Financial,Asset Management,USA,12150.94,14.82,24.61,1.44%,2063609
BF-B,Brown-Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries,USA,29523.92,40.7,61.58,0.62%,1028933
BG,Bunge Limited,Consumer Defensive,Farm Products,USA,14096.91,9.25,94.3,0.74%,1510296
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,USA,43007.04,13.87,298.66,0.51%,945487
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices,USA,11047.85,,379,1.62%,204128
BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,31865.08,12.9,40.78,0.99%,3107753
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,USA,95923.63,25.41,2591.13,-0.24%,465299
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,28346,,27.89,-0.39%,4485881
BLK,"BlackRock, Inc.",Financial,Asset Management,USA,98922.22,20.85,672.3,1.78%,533913
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,USA,135630.9,18.6,63.82,-1.15%,8457725
BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,USA,17481.09,32.05,149.59,0.96%,502768
BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,700591.2,,320.6,0.50%,3229343
BRO,"Brown & Brown, Inc.",Financial,Insurance Brokers,USA,17895.32,25.98,62.87,-0.35%,986291
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,USA,74098.78,87.13,51.06,-0.93%,8497524
BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts,USA,10982.59,11.56,47.17,0.66%,2083180
BXP,"Boston Properties, Inc.",Real Estate,REIT - Office,USA,7465.58,9.58,47.74,0.29%,1334558
C,Citigroup Inc.,Financial,Banks - Diversified,USA,86104.76,6.12,44.6,0.84%,11950120
CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,USA,16562.94,20.8,34.84,0.32%,4057391
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,USA,21564.79,47.39,82.83,-2.21%,1936479
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,USA,34395.44,13.86,40.89,-0.75%,4815826
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,USA,108214.98,15.66,211.8,0.87%,1972021
CB,Chubb Limited,Financial,Insurance - Property & Casualty,Switzerland,78936.77,15.27,190.09,-0.26%,2618205
CBOE,"Cboe Global Markets, Inc.",Financial,Financial Data & Stock Exchanges,USA,14131.46,48.03,133.77,-0.06%,398122
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,USA,23302.77,21.73,75.57,0.80%,1124764
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,USA,48683.77,29.01,111.76,-0.45%,2119274
CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services,USA,13683.65,,11.28,2.55%,30501675
CDAY,Ceridian HCM Holding Inc.,Technology,Software - Application,USA,9556.25,,62.5,1.40%,1150422
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,USA,61215.27,73.11,228.33,1.71%,2809632
CDW,CDW Corporation,Technology,Information Technology Services,USA,23000.52,21.83,174.22,2.10%,879057
CE,Celanese Corporation,Basic Materials,Chemicals,USA,11559.47,7.86,107.42,1.09%,1144010
CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable,USA,26845.42,,83.85,1.33%,2267078
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,USA,12447.44,4.2,62.85,-1.58%,2167077
CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,USA,12995.05,6.49,27.01,0.60%,4920965
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,USA,22836.59,56.14,93.97,0.51%,1774240
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,USA,11581.9,15.72,97.54,-1.89%,1569778
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,USA,48133.94,10.82,330.25,3.31%,1428203
CI,The Cigna Group,Healthcare,Healthcare Plans,USA,73100.63,11.13,244.1,-1.20%,1683165
CINF,Cincinnati Financial Corporation,Financial,Insurance - Property & Casualty,USA,15483.43,651.13,98.32,-0.17%,351264
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,USA,63254.3,39.94,76.21,-0.05%,5749920
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,USA,19574.43,267.83,159.09,0.47%,834251
CMA,Comerica Incorporated,Financial,Banks - Regional,USA,5159.94,4.09,38.99,-0.51%,2336960
CMCSA,Comcast Corporation,Communication Services,Telecom Services,USA,162959.62,29.93,39.48,1.00%,35818924
CME,CME Group Inc.,Financial,Financial Data & Stock Exchanges,USA,63677.17,22.44,176.67,-0.20%,1105203
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,USA,56787.37,56.03,2071.02,0.64%,269366
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,USA,29863.16,11.98,212.64,0.80%,732680
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,USA,16670.92,27.05,57.1,-0.10%,1771942
CNC,Centene Corporation,Healthcare,Healthcare Plans,USA,34808.35,23.79,62.72,-1.12%,3228120
CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Electric,USA,17832.95,22.31,28.34,0.28%,4770790
COF,Capital One Financial Corporation,Financial,Credit Services,USA,38150.15,7.09,102.85,2.93%,3092693
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,USA,18369.77,48.91,369.39,-0.55%,425948
COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,123051.09,8.12,101.85,0.16%,5708843
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,USA,215778.26,37.27,507.26,4.26%,5299306
CPB,Campbell Soup Company,Consumer Defensive,Packaged Foods,USA,15410.76,19.07,51.51,0.10%,2346702
CPRT,"Copart, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,41821.21,36.75,87.88,0.15%,2039520
CPT,Camden Property Trust,Real Estate,REIT - Residential,USA,10990.58,18.38,103.92,0.95%,498546
CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,USA,9975.83,20.08,194.12,-0.40%,304466
CRM,"Salesforce, Inc.",Technology,Software - Application,USA,205506.06,1045.83,215.44,2.63%,6927101
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,200818.13,17.93,49.86,1.69%,19776388
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,USA,31669.93,85.78,78.49,1.25%,1890834
CSX,CSX Corporation,Industrials,Railroads,USA,62861.95,15.13,30.81,-0.36%,12295632
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,47209.48,37.63,468.72,0.97%,263627
CTLT,"Catalent, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,6641.88,16.42,37.12,0.65%,1918869
CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,18807.57,4.65,24.24,-2.38%,7403544
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,31545.01,14.03,62.88,1.16%,2320537
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,USA,38991.4,32.38,55.17,0.58%,2953547
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,USA,86754.39,22.29,67.64,-0.04%,6489959
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,290713.53,8.33,154.08,-0.31%,7731910
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,USA,8909.67,,42.15,1.81%,2015949
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,USA,42156.63,34.7,49.86,-1.13%,3750943
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,USA,22977.14,12.14,35.89,0.39%,6691663
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,USA,30538.3,31.08,67.6,1.61%,4839124
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,USA,105159.05,11.99,357.21,0.66%,1412545
DFS,Discover Financial Services,Financial,Credit Services,USA,25363.78,6.91,102.36,2.48%,1786047
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,USA,44613.35,19.2,205.1,0.73%,2603428
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,USA,14861.85,19.77,133.77,0.81%,1058401
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,USA,36426.53,7.2,106.71,-0.08%,3005179
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,USA,170049.71,24.99,232.21,0.76%,2802812
DIS,The Walt Disney Company,Communication Services,Entertainment,USA,161058.62,39.15,88.29,0.17%,12857171
DISH,DISH Network Corporation,Communication Services,Telecom Services,USA,3552.51,2.03,6.66,-0.15%,12503325
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,USA,26868.41,87.44,98.89,7.23%,6251788
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,USA,30229.31,19.78,142.45,4.24%,4862433
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,USA,18910.14,18.68,137.03,1.34%,629667
DOW,Dow Inc.,Basic Materials,Chemicals,USA,35627.63,12.58,50.34,-0.06%,3510655
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,USA,10760.9,23.07,299.83,-1.53%,679046
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,USA,19472.95,21.03,161.28,0.16%,1158479
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,USA,22051.83,18.87,106.51,-0.45%,785817
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,USA,68503.01,17.41,88.7,-0.21%,3065107
DVA,DaVita Inc.,Healthcare,Medical Care Facilities,USA,8621.91,17.88,94.28,-0.82%,413973
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,30718.17,5.24,48.07,0.42%,6364713
DXC,DXC Technology Company,Technology,Information Technology Services,USA,5114.84,,24.75,2.23%,1926742
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,USA,44426.56,166.74,115.05,0.38%,1688206
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,USA,34388.16,44.21,126.8,1.12%,1884196
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,USA,23325.38,37.09,44.36,1.70%,5127698
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,USA,47470.87,41.41,166.91,0.11%,705036
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,USA,32304.32,13.21,92.69,-0.57%,2210729
EFX,Equifax Inc.,Industrials,Consulting Services,USA,25403.18,44.27,210.64,1.69%,510569
EIX,Edison International,Utilities,Utilities - Regulated Electric,USA,25146.79,30.11,65.63,-0.05%,1644577
EL,The Estee Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,USA,68300.94,64.34,194.44,1.75%,2062064
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,USA,106692.56,17.35,445.89,-0.93%,1201389
EMN,Eastman Chemical Company,Basic Materials,Specialty Chemicals,USA,9608.4,14.48,81.31,0.83%,558160
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,USA,45160.09,18.6,79.51,0.62%,2533508
ENPH,"Enphase Energy, Inc.",Technology,Solar,USA,22556.41,48.79,165.2,0.37%,2684844
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,64568.86,6.89,110.12,-0.25%,2942716
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,USA,14849.92,35.44,258.08,0.63%,529403
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,USA,66148.49,82.58,729.15,3.10%,705169
EQR,Equity Residential,Real Estate,REIT - Residential,USA,22533.78,24.43,59.64,0.29%,1838497
EQT,EQT Corporation,Energy,Oil & Gas E&P,USA,13196.31,3.46,36.09,-1.10%,9710863
ES,Eversource Energy,Utilities,Utilities - Regulated Electric,USA,24718.78,16.48,68.69,-3.06%,3965754
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,USA,13274.98,27.89,210.38,1.72%,409897
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Ireland,70531.74,28.46,182.46,3.11%,4137137
ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,USA,20556.45,17.62,96.8,-0.43%,1057043
ETSY,"Etsy, Inc.",Consumer Cyclical,Internet Retail,USA,10636.51,,85.53,-0.81%,3455837
EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,USA,13179.03,17.14,57.46,0.14%,992104
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,USA,49497.96,34.13,82.01,0.44%,2308627
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,USA,39295.46,17.41,39.39,-0.30%,5801853
EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,USA,17458.18,15.11,115.51,1.09%,1527092
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,USA,14188.5,49.13,96.35,0.58%,1825167
EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,USA,19634.39,23.08,146.58,0.82%,679028
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,USA,45528.76,16.86,12.09,6.24%,123041899
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,23723.6,5.4,130.99,-0.01%,1425072
FAST,Fastenal Company,Industrials,Industrial Distribution,USA,31023.64,28.48,55.16,1.53%,2218591
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,USA,48201.3,19.41,34.77,3.39%,14096284
FDS,FactSet Research Systems Inc.,Financial,Financial Data & Stock Exchanges,USA,14756.84,33.79,388.44,0.88%,234377
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,USA,56573.22,19.33,224.15,-0.41%,1217908
FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric,USA,21206.27,51.34,36.71,-0.84%,2813520
FFIV,"F5, Inc.",Technology,Software - Infrastructure,USA,8764.55,27.47,148.2,2.24%,520459
FICO,Fair Isaac Corporation,Technology,Software - Application,USA,19299.7,52.79,791.62,2.52%,211157
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,USA,31565.02,,54.46,2.21%,2696472
FISV,"Fiserv, Inc.",Technology,Information Technology Services,USA,69638.61,30.09,113.77,0.85%,4027335
FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,17052.02,7.33,25.26,0.84%,5100944
FLT,"FLEETCOR Technologies, Inc.",Technology,Software - Infrastructure,USA,17189.98,18.61,233.75,0.40%,357815
FMC,FMC Corporation,Basic Materials,Agricultural Inputs,USA,12988.11,16.03,103.59,-0.27%,769232
FOX,Fox Corporation,Communication Services,Entertainment,USA,15339.12,13.67,29.25,1.14%,1988069
FOXA,Fox Corporation,Communication Services,Entertainment,USA,15172.48,14.86,31.4,1.06%,3144631
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,USA,7003.98,18.74,87.06,1.33%,331245
FSLR,"First Solar, Inc.",Technology,Solar,USA,21466.31,522.72,201.77,0.41%,1688654
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,USA,52741.32,55.87,67.77,0.89%,5342265
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,USA,23023.53,31.78,67.82,4.15%,3734431
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,USA,56059.93,16.79,205.25,0.44%,1146490
GE,General Electric Company,Industrials,Specialty Industrial Machinery,USA,110551.32,15.02,102.74,1.20%,5382737
GEHC,GE HealthCare Technologies Inc.,Healthcare,Health Information Services,USA,36310.74,20.11,78.43,-1.79%,2240504
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,USA,10762.87,8.07,17.11,1.60%,3341276
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,USA,96856.64,17.43,77.09,-0.72%,5438692
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,USA,49637.58,18.17,84.18,-0.39%,2363853
GL,Globe Life Inc.,Financial,Insurance - Life,USA,10076.73,12.96,105.24,-0.20%,566879
GLW,Corning Incorporated,Technology,Electronic Components,USA,26388.09,29.66,31.53,1.58%,3766293
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,USA,45054.02,5.15,33.29,2.72%,13650037
GNRC,Generac Holdings Inc.,Industrials,Specialty Industrial Machinery,USA,7240.92,29.62,115.43,-0.86%,556948
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,USA,1586989.85,27.03,125.43,0.87%,25147088
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,USA,1572935.84,28.14,124.61,0.92%,35587411
GPC,Genuine Parts Company,Consumer Cyclical,Specialty Retail,USA,22278.23,18,157.21,-0.85%,758903
GPN,Global Payments Inc.,Industrials,Specialty Business Services,USA,26067.18,,99.97,0.46%,1781777
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,Switzerland,19825.3,20.74,103.83,0.18%,689626
GS,"The Goldman Sachs Group, Inc.",Financial,Capital Markets,USA,107674.17,11.82,332.01,2.51%,2718000
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,USA,33091.94,20.24,664.23,0.70%,200618
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,USA,27354.56,14.01,30.2,-0.40%,9836755
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,USA,8277.65,69.85,60.07,0.59%,1271217
HBAN,Huntington Bancshares Incorporated,Financial,Banks - Regional,USA,15042.55,6.81,10.52,0.96%,8902825
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,USA,72649.29,13.25,264.41,0.12%,975259
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,USA,288291.12,17.83,292.83,2.12%,4625067
HES,Hess Corporation,Energy,Oil & Gas E&P,USA,39643.3,19.87,130.2,0.84%,1451691
HIG,"The Hartford Financial Services Group, Inc.",Financial,Insurance - Diversified,USA,21297.67,11.82,68.68,0.04%,1381719
HII,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,USA,7900.63,14.19,201.29,1.63%,372909
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,USA,37028.83,30.34,138.09,-1.31%,1187806
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,USA,19322.83,26.35,79.03,0.66%,1098422
HON,Honeywell International Inc.,Industrials,Conglomerates,USA,127942.81,25.16,193.75,0.77%,1971952
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,USA,19010.4,23.86,15.34,4.57%,22099137
HPQ,HP Inc.,Technology,Computer Hardware,USA,30440.19,12.47,31.3,1.29%,8369997
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,USA,20899.21,21.64,38.47,0.60%,2503572
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,USA,9835.5,21.39,74.92,-0.21%,555659
HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,USA,11899.03,14.88,16.78,0.30%,3949082
HSY,The Hershey Company,Consumer Defensive,Confectioners,USA,53221.76,31.28,257.72,-1.02%,1142275
HUM,Humana Inc.,Healthcare,Healthcare Plans,USA,62482.21,20.18,496.6,-0.69%,648337
HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,USA,17878.94,37.69,43.5,0.55%,2731810
IBM,International Business Machines Corporation,Technology,Information Technology Services,USA,115103.93,62.72,128.89,1.68%,5611790
ICE,"Intercontinental Exchange, Inc.",Financial,Financial Data & Stock Exchanges,USA,58847.54,40.85,105.16,0.05%,1516223
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,USA,38021.66,56.43,468.94,2.38%,376910
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,USA,15250.83,26.31,203.48,0.84%,336543
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,USA,19963.34,,78.26,0.00%,1706788
ILMN,"Illumina, Inc.",Healthcare,Diagnostics & Research,USA,30598.02,,195.89,1.22%,1782420
INCY,Incyte Corporation,Healthcare,Biotechnology,USA,14025.43,43.22,62.58,-0.46%,1347453
INTC,Intel Corporation,Technology,Semiconductors,USA,114285.52,,29,5.84%,71872567
INTU,Intuit Inc.,Technology,Software - Application,USA,115892.56,52.88,418.43,1.29%,3286975
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,USA,20132.17,49.84,33.39,1.49%,1604518
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,USA,10623.3,7.16,30.62,0.03%,2974643
IPG,"The Interpublic Group of Companies, Inc.",Communication Services,Advertising Agencies,USA,14472.34,16.39,37.71,0.59%,3003300
IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,USA,36640.96,35.81,199.45,1.00%,750196
