No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Dividend Yield,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Average Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Volatility (Week),Volatility (Month),Analyst Recom,Relative Volume,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap
11,ADM,Archer Daniels Midland Co.,Consumer Defensive,Farm Products,USA,28167.23,11.81,58.91,-2.60%,4081435,10.87,,0.32,1.27,6.59,8.91,-22.11%,-0.35%,15.02%,-4.90%,8.84%,3.37%,4.81%,11.05%,8.28%,1.44,0.88,0.42,0.54,7.05%,3.09%,2.93%,7/30/2024 8:30:00 AM,513.0,474.85,0.69%,-0.21%,84.23%,-1.20%,2.13%,2.64,3835.13,-7.92%,-6.03%,-0.74%,3.79%,-30.52%,-18.43%,3.72%,2.58%,3.15,1.06,0.72,1.62,-7.07%,-4.97%,-7.75%,-32.51%,16.15%,33.9,-2.24%,-0.36%
12,ADP,Automatic Data Processing Inc.,Industrials,Staffing & Employment Services,USA,107856.1,28.95,263.52,0.85%,2310603,24.24,3.17,5.62,23.65,37.02,27.31,9.12%,8.52%,11.67%,9.13%,6.30%,2.14%,7.12%,93.14%,47.69%,1.01,1.01,0.73,0.73,50.07%,25.76%,19.54%,7/31/2024 8:30:00 AM,409.29,408.73,0.14%,-20.77%,81.08%,0.81%,1.17%,3.12,1526.19,4.29%,11.23%,8.88%,6.65%,6.53%,13.11%,2.04%,1.68%,2.95,1.51,0.8,4.63,6.99%,7.40%,9.28%,-2.22%,28.21%,74.8,0.58%,0.27%
13,ADSK,Autodesk Inc.,Technology,Software - Application,USA,49862.55,50.13,231.37,-4.31%,2812409,25.62,4.17,8.9,23.02,25.07,47.26,6.93%,11.13%,,12.04%,16.24%,,10.55%,65.21%,21.17%,0.69,0.69,1.18,1.21,89.93%,21.61%,17.79%,8/29/2024 4:30:00 PM,215.51,214.9,0.28%,-11.13%,90.00%,2.04%,1.33%,1.44,1987.35,-3.94%,-6.06%,10.20%,-9.29%,11.89%,-4.97%,2.84%,2.19%,2.0,1.42,1.48,6.12,-5.96%,-1.21%,-1.04%,-17.23%,20.50%,38.54,-2.24%,-2.11%
14,AEE,Ameren Corp.,Utilities,Utilities - Regulated Electric,USA,22008.27,18.69,82.53,1.56%,2132412,16.81,3.4,3.06,1.91,1158.33,,5.45%,6.30%,5.69%,5.50%,4.21%,3.25%,2.88%,10.52%,4.21%,0.67,0.45,1.41,1.54,29.87%,21.75%,16.28%,8/1/2024 4:30:00 PM,266.3,265.66,0.38%,-2.57%,80.26%,-1.62%,1.24%,2.0,1645.29,5.75%,16.96%,9.67%,16.73%,-2.20%,14.09%,2.32%,1.97%,2.44,1.3,0.45,1.53,9.69%,13.18%,12.42%,-3.74%,23.12%,81.15,-0.17%,1.74%
15,AEP,American Electric Power Company Inc.,Utilities,Utilities - Regulated Electric,USA,54164.5,20.31,101.79,0.54%,4453266,17.04,3.08,2.74,2.07,114.37,,7.11%,6.21%,1.73%,6.59%,4.02%,3.52%,2.69%,10.53%,3.95%,0.65,0.48,1.55,1.7,29.47%,21.67%,13.32%,7/30/2024 8:30:00 AM,532.12,531.71,0.08%,-2.47%,76.37%,0.32%,1.49%,3.06,2590.55,5.54%,16.25%,15.34%,27.73%,20.46%,25.33%,2.76%,1.80%,2.45,1.72,0.53,1.88,9.13%,12.59%,21.50%,0.41%,46.71%,85.94,-1.74%,2.32%
16,AES,AES Corp.,Utilities,Utilities - Diversified,USA,12173.78,16.34,17.13,-4.36%,10659975,8.21,2.68,0.98,3.94,5.71,,8.70%,9.02%,-25.72%,6.10%,3.74%,4.06%,1.69%,19.37%,2.55%,0.97,0.91,6.38,7.15,20.80%,18.07%,6.06%,8/1/2024 4:30:00 PM,710.67,709.44,0.17%,-10.86%,103.15%,0.31%,2.59%,2.27,8075.37,-2.23%,-4.25%,-9.51%,-0.17%,-18.58%,-11.01%,2.67%,2.84%,1.5,1.32,1.06,0.59,-2.78%,-9.27%,-2.56%,-22.87%,49.87%,41.54,-0.98%,-3.41%
17,AFL,Aflac Inc.,Financial,Insurance - Life,USA,56390.15,10.5,99.24,-2.37%,3471905,14.31,1.4,2.92,2.14,,17.58,5.68%,5.37%,15.60%,7.50%,-2.82%,1.99%,4.38%,23.54%,16.33%,1.64,,0.29,0.29,,33.30%,28.34%,7/31/2024 4:30:00 PM,578.48,511.61,9.96%,-0.24%,60.46%,-0.97%,3.02%,7.09,2183.67,4.66%,11.39%,18.09%,30.24%,30.17%,20.29%,2.44%,1.78%,3.0,1.59,0.93,2.12,6.21%,9.69%,17.78%,-5.40%,36.36%,70.8,-1.05%,-1.34%
18,AIG,American International Group Inc,Financial,Insurance - Diversified,USA,47764.33,,71.97,-3.92%,7453145,9.76,,1.14,1.05,,7.26,-13.10%,24.96%,,5.20%,0.56%,2.21%,1.25%,8.56%,-1.24%,1.17,,0.22,0.22,,16.19%,-1.61%,7/31/2024 4:30:00 PM,688.84,661.71,0.30%,-21.10%,94.90%,-3.50%,1.34%,1.94,4560.33,-6.82%,-4.23%,-7.85%,4.58%,17.46%,6.23%,2.75%,2.18%,1.86,1.63,1.09,1.93,-6.12%,-5.56%,0.40%,-10.96%,26.22%,37.01,-2.74%,-1.21%
19,AIZ,Assurant Inc,Financial,Insurance - Specialty,USA,9007.27,12.09,173.25,-0.74%,387483,9.94,1.92,0.79,1.83,,11.91,5.22%,6.98%,24.61%,6.30%,7.32%,1.68%,2.89%,16.43%,10.93%,2.3,,0.42,0.42,,9.33%,6.73%,8/6/2024 4:30:00 PM,51.96,51.58,0.79%,-5.19%,97.35%,-6.49%,2.11%,3.17,343.76,0.12%,5.69%,-0.78%,2.33%,21.36%,2.83%,1.95%,2.02%,1.67,1.13,0.56,3.41,2.17%,2.36%,1.91%,-8.57%,28.34%,56.26,-0.38%,-0.36%
20,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,62912.38,55.89,287.14,0.01%,917321,25.16,4.78,5.82,5.44,44.3,26.96,16.18%,12.13%,5.38%,11.70%,8.21%,0.84%,1.94%,10.38%,5.79%,,,0.7,0.74,92.78%,19.36%,10.55%,7/25/2024 4:30:00 PM,216.7,216.66,1.11%,-5.70%,88.30%,1.86%,1.46%,3.88,816.34,1.26%,9.33%,20.37%,23.70%,29.61%,27.69%,1.83%,1.79%,2.0,1.12,0.73,5.18,5.09%,9.02%,16.83%,-0.16%,33.32%,72.16,-0.66%,0.67%
21,AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure,USA,14403.38,23.55,94.56,-0.92%,1220591,14.05,3.57,3.71,3.11,8.6,18.34,1.77%,6.67%,14.90%,6.60%,7.05%,,6.91%,14.22%,6.98%,3.19,3.19,0.94,0.99,56.71%,17.92%,16.12%,8/8/2024 4:30:00 PM,151.23,149.45,1.88%,-2.87%,94.35%,-1.96%,4.84%,4.18,1730.68,-2.49%,4.68%,-5.19%,-23.77%,2.32%,-20.10%,2.01%,1.92%,2.04,0.71,0.68,1.82,-1.01%,2.25%,-10.98%,-26.79%,7.96%,48.69,-0.66%,-0.26%
22,ALB,Albemarle Corp.,Basic Materials,Specialty Chemicals,USA,10223.93,,86.99,-6.63%,5806538,19.27,,1.37,1.14,5.59,,-93.08%,193.35%,16.09%,-3.19%,30.25%,1.83%,-2.67%,-4.76%,-3.73%,2.67,1.75,0.32,0.33,-8.15%,-18.15%,-7.43%,7/31/2024 4:30:00 PM,117.36,117.01,0.44%,-0.45%,96.95%,1.71%,12.44%,5.15,2828.5,-6.26%,-13.09%,-30.57%,-25.51%,-57.12%,-39.79%,5.23%,4.44%,2.36,2.05,1.55,4.69,-7.73%,-16.27%,-28.18%,-59.54%,-3.37%,33.99,-2.03%,-4.70%
23,ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,USA,16071.53,36.24,213.49,-6.50%,1381455,20.26,3.81,4.08,4.27,20.55,32.69,9.40%,11.88%,3.39%,9.50%,16.58%,,7.27%,12.09%,11.59%,1.18,1.06,0.03,0.03,72.91%,17.34%,11.34%,7/24/2024 4:30:00 PM,75.08,70.24,6.69%,-0.54%,87.88%,-1.40%,3.00%,2.58,817.05,-3.16%,-12.28%,-25.49%,-21.91%,-41.89%,-22.08%,5.03%,3.83%,1.94,1.69,1.64,9.7,-11.70%,-13.62%,-19.59%,-43.17%,21.07%,31.16,-4.70%,-1.89%
24,ALL,Allstate Corp,Financial,Insurance - Property & Casualty,USA,46687.55,16.07,176.82,-0.32%,1699633,10.09,,0.77,2.81,,7.46,1370.51%,25.47%,,,7.88%,2.10%,3.18%,17.78%,11.16%,0.44,,0.4,0.43,,7.01%,4.82%,7/31/2024 4:30:00 PM,264.04,262.5,0.58%,-7.70%,79.71%,1.15%,0.98%,1.78,1442.6,4.52%,10.90%,4.52%,13.21%,66.01%,26.32%,2.73%,2.39%,1.7,1.18,0.47,4.51,5.08%,7.34%,13.85%,-2.24%,69.55%,62.79,0.17%,-0.48%
25,ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland,11286.82,20.58,129.54,-2.08%,1312881,16.78,3.55,3.07,7.92,15.1,22.69,3.83%,6.85%,5.98%,5.80%,6.18%,1.47%,12.39%,43.22%,15.69%,1.66,1.23,1.48,1.79,43.79%,20.58%,15.08%,7/24/2024 8:30:00 AM,87.5,86.85,0.32%,-2.45%,107.28%,1.72%,2.65%,3.27,704.53,-5.29%,11.97%,5.95%,1.82%,13.16%,2.25%,3.10%,2.98%,2.75,1.86,1.13,3.94,2.36%,6.51%,7.32%,-8.77%,35.02%,54.45,-0.42%,-1.67%
26,AMAT,Applied Materials Inc.,Technology,Semiconductor Equipment & Materials,USA,150535.04,20.89,181.81,-7.38%,12989398,18.7,1.36,5.69,8.27,19.92,22.12,4.38%,15.70%,22.34%,15.38%,10.73%,0.73%,23.93%,45.19%,30.54%,2.8,1.97,0.31,0.33,47.12%,28.85%,27.60%,8/15/2024 4:30:00 PM,833.0,825.22,0.33%,-15.20%,80.17%,0.76%,1.91%,2.83,5558.36,-11.94%,-25.28%,-8.14%,8.89%,23.40%,12.18%,5.83%,4.02%,1.83,2.34,1.56,10.56,-18.99%,-19.93%,-3.75%,-28.95%,40.71%,31.98,-3.23%,-4.29%
27,AMCR,Amcor Plc,Consumer Cyclical,Packaging & Containers,United Kingdom,15204.98,23.37,10.52,0.19%,13275595,14.21,4.33,1.1,3.85,33.27,18.93,-4.61%,5.87%,7.36%,5.40%,12.28%,4.75%,3.85%,15.94%,5.65%,1.29,0.75,1.91,1.94,19.47%,9.56%,4.71%,4/30/2024 4:30:00 PM,1447.0,1440.32,0.35%,-0.46%,57.43%,-0.83%,1.26%,1.9,9549.7,1.35%,9.36%,6.59%,11.21%,6.80%,9.13%,1.84%,1.84%,2.75,1.39,0.85,0.19,4.37%,5.25%,10.60%,-0.94%,24.50%,67.24,0.38%,-0.19%
28,AMD,Advanced Micro Devices Inc.,Technology,Semiconductors,USA,214448.6,160.02,132.5,-0.03%,78473422,24.42,4.86,9.21,3.81,40.16,158.03,29.08%,58.63%,10.43%,32.90%,31.41%,,1.99%,2.42%,2.30%,2.82,2.01,0.04,0.04,40.60%,4.18%,5.82%,7/30/2024 4:30:00 PM,1616.0,1609.72,0.54%,-9.11%,70.64%,3.24%,2.87%,0.87,52826.17,-5.35%,-19.16%,-9.35%,-22.28%,21.17%,-10.11%,7.42%,5.07%,1.5,1.49,1.7,8.08,-16.86%,-17.80%,-14.08%,-41.71%,42.30%,31.22,-0.75%,0.72%
29,AME,Ametek Inc,Industrials,Specialty Industrial Machinery,USA,35354.73,26.6,152.74,-4.02%,4082220,20.86,3.13,5.18,3.82,89.15,21.2,6.14%,8.11%,11.15%,8.50%,6.96%,0.73%,9.64%,15.37%,11.84%,1.26,0.76,0.22,0.31,35.65%,25.52%,19.52%,8/1/2024 8:30:00 AM,230.93,230.39,0.47%,-8.38%,91.90%,0.85%,1.21%,2.21,1257.03,-11.34%,-8.15%,-6.49%,-7.92%,-3.75%,-7.37%,3.24%,2.32%,1.83,3.25,1.19,4.71,-9.95%,-9.83%,-8.50%,-18.02%,11.58%,30.2,-3.11%,-0.93%
30,AMGN,AMGEN Inc.,Healthcare,Drug Manufacturers - General,USA,179162.25,47.76,333.99,-0.46%,2105831,16.12,8.01,6.1,35.67,18.46,25.24,4.55%,6.27%,-0.22%,5.97%,3.42%,2.77%,4.14%,72.57%,5.78%,1.42,0.98,11.96,12.75,66.17%,24.84%,12.82%,8/6/2024 4:30:00 PM,535.4,534.92,0.28%,-0.14%,77.98%,-1.47%,1.79%,3.97,2414.89,-0.26%,7.95%,19.97%,2.91%,44.95%,15.96%,2.20%,2.19%,2.17,0.87,0.6,7.29,1.44%,5.72%,14.54%,-3.71%,46.35%,62.31,-1.02%,0.56%
31,AMP,Ameriprise Financial Inc,Financial,Asset Management,USA,39987.22,13.79,402.61,-3.76%,679597,10.55,0.78,2.35,8.22,5.08,6.76,17.63%,9.69%,10.79%,17.60%,4.72%,1.44%,1.76%,67.63%,28.47%,,,1.16,1.2,53.24%,24.81%,18.04%,7/24/2024 4:30:00 PM,100.17,99.14,0.19%,-29.99%,86.67%,-1.50%,0.96%,2.02,469.49,-8.40%,-7.23%,-3.33%,4.30%,15.77%,6.00%,2.48%,2.24%,2.07,1.45,1.35,10.11,-6.41%,-6.64%,1.17%,-10.52%,31.30%,34.29,-1.68%,-2.12%
32,AMT,American Tower Corp.,Real Estate,REIT - Specialty,USA,109595.65,44.07,234.64,2.94%,4750366,34.88,1.34,9.66,28.42,41.85,31.98,116.25%,-2.17%,2.77%,32.85%,8.57%,2.77%,3.75%,55.18%,5.27%,,,11.24,12.29,48.18%,38.21%,21.95%,7/30/2024 8:30:00 AM,466.3,466.0,0.23%,-3.69%,94.99%,-0.40%,1.28%,2.78,2147.17,9.79%,20.46%,30.62%,18.27%,23.09%,8.69%,2.65%,2.19%,1.52,2.21,0.82,5.16,11.91%,17.32%,20.35%,2.36%,51.79%,82.07,2.02%,0.91%
33,AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,USA,1747268.08,40.22,167.9,-8.78%,141295010,28.42,1.32,2.89,7.45,19.61,36.15,62.76%,25.17%,23.55%,30.50%,20.20%,,8.60%,21.93%,12.02%,1.1,0.88,0.56,0.56,48.04%,9.12%,7.35%,8/1/2024 4:30:00 PM,10383.0,9267.41,10.95%,-4.92%,63.04%,0.59%,0.82%,1.87,40468.62,-8.00%,-15.03%,-9.11%,5.41%,30.96%,10.50%,3.34%,2.62%,1.26,3.49,1.15,6.45,-11.08%,-10.26%,-0.27%,-16.55%,41.87%,30.25,0.69%,-9.41%
34,ANET,Arista Networks Inc,Technology,Computer Hardware,USA,100320.66,41.39,319.34,-5.70%,2699390,34.08,2.13,15.89,11.9,15.99,37.18,18.93%,13.54%,45.36%,19.40%,23.55%,,24.86%,34.46%,29.20%,4.55,3.7,0.0,0.0,64.01%,41.23%,39.01%,7/30/2024 4:30:00 PM,312.25,257.08,18.17%,-1.46%,70.05%,1.39%,1.22%,1.23,2544.75,0.04%,-12.61%,21.95%,21.43%,80.13%,35.60%,5.58%,3.71%,1.81,1.06,1.08,15.82,-7.06%,-3.34%,17.24%,-15.18%,89.80%,43.72,-0.21%,-5.50%
35,ANSS,Ansys Inc.,Technology,Software - Application,USA,26411.01,53.48,302.22,-2.46%,704966,28.43,8.36,11.36,4.73,23.6,36.69,9.94%,9.89%,3.25%,6.40%,11.95%,,7.11%,9.43%,7.70%,2.95,2.95,0.15,0.16,87.20%,27.33%,21.30%,7/31/2024 4:30:00 PM,87.39,87.03,0.41%,-0.09%,90.03%,-0.36%,1.80%,3.27,478.76,-3.22%,-7.56%,-3.91%,-9.15%,-7.11%,-16.72%,3.82%,2.38%,2.89,1.47,1.11,8.23,-5.44%,-6.20%,-6.07%,-17.04%,17.13%,35.34,-1.87%,-0.60%
36,AON,Aon plc.,Financial,Insurance Brokers,Ireland,71734.82,26.41,330.21,0.73%,1649743,19.06,2.59,5.04,12.24,62.05,24.58,8.21%,13.25%,24.04%,10.20%,4.62%,0.78%,5.83%,86.04%,10.55%,,,3.12,3.16,91.65%,28.41%,17.92%,7/26/2024 8:30:00 AM,217.24,214.75,1.15%,-1.07%,82.80%,-1.43%,1.56%,2.15,1554.2,2.23%,12.02%,17.89%,10.07%,2.11%,13.47%,1.75%,1.72%,2.86,1.06,0.91,6.0,8.43%,11.80%,7.51%,-4.20%,23.19%,76.77,0.38%,0.34%
37,AOS,A.O. Smith Corp.,Industrials,Specialty Industrial Machinery,USA,12017.22,21.3,82.4,-0.17%,1106038,18.92,2.13,3.06,6.36,51.51,24.99,6.70%,7.11%,7.40%,10.00%,4.31%,1.56%,17.89%,30.34%,27.89%,1.7,1.07,0.08,0.09,38.19%,19.34%,14.67%,7/23/2024 8:30:00 AM,121.63,117.94,19.13%,-0.60%,82.57%,0.74%,2.77%,3.58,914.97,-2.49%,1.68%,-1.38%,3.56%,13.51%,-0.05%,2.49%,2.65%,2.6,1.21,1.15,2.46,-3.08%,-1.46%,1.29%,-10.87%,28.47%,44.78,0.86%,-1.02%
38,APA,APA Corporation,Energy,Oil & Gas E&P,USA,10612.32,3.12,28.59,-8.01%,8733120,6.26,3.35,1.18,1.95,66.33,19.33,-6.33%,7.57%,145.22%,0.93%,10.03%,3.53%,17.37%,94.75%,23.88%,1.01,0.95,1.24,1.24,44.07%,37.61%,32.39%,7/31/2024 4:30:00 PM,371.19,369.45,0.47%,0.00%,74.17%,-2.94%,4.48%,2.95,5607.33,-8.39%,-2.85%,-2.02%,-7.18%,-26.71%,-20.32%,5.04%,3.39%,2.62,1.56,3.25,1.13,-6.73%,-3.97%,-13.01%,-38.04%,5.23%,37.22,-6.84%,-1.25%
39,APD,Air Products & Chemicals Inc.,Basic Materials,Specialty Chemicals,USA,62633.62,24.48,281.74,-1.99%,1832134,21.0,3.72,5.17,4.15,25.7,,6.83%,9.11%,8.70%,6.58%,7.59%,2.51%,7.55%,17.53%,8.96%,1.27,1.1,0.9,0.97,31.68%,23.01%,21.18%,8/1/2024 8:30:00 AM,222.2,220.65,0.74%,0.00%,87.17%,1.11%,1.29%,1.57,1806.93,7.95%,11.36%,15.61%,8.55%,-5.87%,2.90%,2.63%,2.20%,2.23,1.01,0.81,7.5,7.74%,6.13%,9.65%,-8.44%,32.75%,63.07,-0.37%,-1.62%
40,APH,Amphenol Corp.,Technology,Electronic Components,USA,71209.67,35.23,59.13,-4.81%,11962635,28.6,2.08,5.32,7.93,54.68,30.85,17.34%,17.07%,10.05%,16.90%,9.37%,0.89%,12.43%,25.49%,15.00%,2.02,1.32,0.56,0.61,33.23%,21.11%,15.69%,7/24/2024 8:30:00 AM,1197.8,1197.65,0.55%,-23.25%,97.48%,0.02%,1.05%,1.67,7502.79,-7.41%,-12.77%,-2.26%,15.47%,33.81%,19.30%,4.38%,3.17%,1.95,1.59,1.25,2.55,-10.43%,-11.55%,6.91%,-16.53%,50.31%,34.59,-1.94%,-2.93%
41,APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Ireland,18943.54,5.26,69.63,-4.79%,6391880,8.97,0.2,0.95,1.62,8.78,14.02,25.57%,27.17%,20.89%,26.09%,7.33%,,15.75%,35.65%,21.20%,1.49,1.09,0.52,0.66,16.37%,8.55%,18.46%,8/1/2024 8:30:00 AM,279.03,270.36,0.63%,-1.55%,102.90%,1.70%,2.76%,2.37,3151.52,1.29%,-0.23%,-10.49%,-16.61%,-34.48%,-22.39%,5.40%,3.34%,1.84,2.03,1.78,3.19,-0.73%,-5.97%,-12.04%,-38.46%,6.91%,47.1,-2.15%,-2.69%
