No.,Ticker,Company,Combined_Rank,Combined_Score,Market Cap_dr,Forward P/E_dr,P/B_dr,P/Free Cash Flow_dr,EPS growth this year_dr,EPS growth next year_dr,Dividend Yield_dr,Return on Assets_dr,Total Debt/Equity_dr,Institutional Ownership_dr,Float Short_dr,Performance (Month)_dr,Performance (Quarter)_dr,Average Volume_dr,Beta_dr,Market Cap,Forward P/E,P/B,P/Free Cash Flow,EPS growth this year,EPS growth next year,Dividend Yield,Return on Assets,Total Debt/Equity,Institutional Ownership,Float Short,Performance (Month),Performance (Quarter),Average Volume,Beta,Sector,Industry,Country,P/E,Price,Change,Volume,PEG,P/S,P/Cash,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Transactions,Short Ratio,Performance (Week),Performance (Half Year),Performance (Year),Performance (YTD),Volatility (Week),Volatility (Month),Analyst Recom,Relative Volume,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Market Cap_Rank,Forward P/E_Rank,P/B_Rank,P/Free Cash Flow_Rank,EPS growth this year_Rank,EPS growth next year_Rank,Dividend Yield_Rank,Return on Assets_Rank,Total Debt/Equity_Rank,Institutional Ownership_Rank,Float Short_Rank,Performance (Month)_Rank,Performance (Quarter)_Rank,Average Volume_Rank,Beta_Rank
20,FISV,"Fiserv, Inc.",2813,104,4,7,6,6,1,7,19,13,8,5,6,8,2,6,6,71539.09,13.43,2.31,22.79,96.6,14.13,0,3.2,0.69,92.5,1.23,-3.45,11.25,3589.29,0.86,Technology,Information Technology Services,USA,28.8,112.52,1.28%,3377477,2.11,4.03,79.31,12.00%,13.63%,25.50%,8.20%,6.10%,1,1,0.68,54.90%,21.10%,14.30%,2/7/2023 8:30,633.6,621.76,0.50%,-49.19%,-0.51%,2.13,4.02%,14.16%,13.91%,11.33%,2.70%,2.45%,2.1,0.94,0.027639531,-0.56%,1.57%,9.73%,-5.83%,29.29%,51.18,2.51%,-1.20%,104,191,171,162,50,177,499,338,226,139,153,213,67,156,167
21,VZ,Verizon Communications Inc.,2818,105,1,2,4,11,12,18,0,10,14,17,2,6,8,0,0,157264.77,7.94,1.74,48.4,-4.9,0.83,6.93,5.7,1.65,63.8,0.85,-2.26,-0.32,21407.45,0.34,Communication Services,Telecom Services,USA,7.45,37.66,0.78%,14956494,9.03,1.15,60.37,9.20%,0.82%,1.70%,24.40%,10.10%,0.8,0.7,1.54,56.80%,22.60%,15.50%,1/24/2023 8:30,4205,4198.77,0.03%,-1.46%,-1.64%,1.68,2.36%,-5.68%,-26.11%,-4.42%,1.49%,1.60%,2.8,0.7,0.017525226,0.17%,-4.26%,-9.23%,-32.16%,9.00%,46.13,0.45%,0.32%,44,60,113,284,309,462,12,253,371,441,63,170,204,20,12
22,UNH,UnitedHealth Group Incorporated,2900,106,0,10,13,7,6,7,11,6,9,7,0,7,14,6,3,446407.21,16.83,5.72,25.64,17.1,13.44,1.39,8.6,0.74,89.7,0.52,-3.19,-9.77,3530.41,0.68,Healthcare,Healthcare Plans,USA,22.47,475.99,1.29%,2532662,1.62,1.38,19.11,17.40%,13.89%,10.00%,27.00%,16.80%,,,0.7,,8.80%,6.20%,1/13/2023 8:30,934,929.88,0.10%,-0.11%,-0.69%,1.37,1.38%,-8.01%,-5.41%,-10.22%,2.12%,1.94%,1.8,0.72,0.020084456,0.60%,-1.25%,-7.02%,-14.71%,5.85%,49.35,1.49%,-0.20%,11,272,335,177,174,195,301,173,241,184,6,197,375,162,97
23,EOG,"EOG Resources, Inc.",2929,107,4,1,7,3,2,16,5,1,2,7,4,15,18,5,17,63042.93,7.71,2.48,11.33,65.5,4.85,3.13,19.6,0.2,89,1.07,-10.93,-18.11,3825.49,1.53,Energy,Oil & Gas E&P,USA,7.98,105.49,0.68%,4183034,,2.46,10.56,82.00%,-0.07%,17.80%,33.60%,26.20%,1.9,1.7,0.15,63.10%,38.90%,30.30%,2/23/2023 16:30,587.72,585.05,0.30%,-0.04%,-0.42%,1.63,2.67%,-8.97%,-10.51%,-17.80%,3.64%,3.75%,1.9,1.09,0.040856953,-5.16%,-12.77%,-12.12%,-28.60%,18.34%,38.44,3.51%,-2.74%,119,51,193,79,65,427,141,38,70,196,117,392,455,149,437
24,NXPI,NXP Semiconductors N.V.,2905,107,6,6,13,4,3,10,8,4,0,4,13,6,3,10,17,46386.75,12.76,6.15,15.09,55.5,10.65,2.3,12.4,0,94.1,2.38,-2.45,8.03,2011.05,1.53,Technology,Semiconductors,Netherlands,16.73,176.55,-3.02%,2280608,1.68,3.51,12.06,19.80%,9.97%,7.40%,39.80%,17.50%,2.1,1.6,1.5,56.90%,28.60%,21.10%,1/30/2023 16:30,259.66,258.38,0.10%,0.00%,-2.33%,3.06,-0.42%,13.81%,-3.83%,11.72%,3.47%,3.03%,2.3,1.13,0.033531577,-1.23%,-2.17%,5.48%,-10.96%,33.67%,46.79,-2.70%,-0.32%,163,172,348,109,81,268,210,115,24,103,342,174,98,262,436
25,MDT,Medtronic plc,2962,107,2,8,5,15,3,18,4,11,6,10,2,10,6,3,4,106917.74,15,2.05,174.42,44.2,0.27,3.43,4.4,0.55,84.6,0.89,-5.5,2.86,6341.61,0.73,Healthcare,Medical Devices,Ireland,26.09,79.37,2.32%,6216949,12.18,3.47,9.6,5.20%,2.14%,1.30%,7.80%,6.90%,1.8,1.4,0.43,66.70%,18.00%,13.20%,2/21/2023 8:30,1330.2,1328.92,0.09%,-1.48%,1.43%,1.87,1.38%,-5.01%,-25.24%,2.12%,2.42%,2.17%,2.5,0.98,0.023434547,-0.93%,-3.19%,-6.47%,-30.57%,4.76%,46.54,2.55%,-0.22%,74,223,147,391,100,466,115,298,176,265,70,276,162,89,110
26,RTX,Raytheon Technologies Corporation,2902,107,1,10,5,14,4,5,8,13,5,12,0,7,10,4,9,144545.24,16.57,1.95,82.5,35.9,16.26,2.28,3.3,0.44,80.9,0.64,-3.21,-3.33,4749.9,1.06,Industrials,Aerospace & Defense,USA,27.46,96.44,0.46%,4711872,2.05,2.16,23.24,-11.80%,13.40%,2.30%,7.30%,4.50%,1.1,0.8,0.42,20.40%,8.10%,7.70%,1/24/2023 8:30,1465.9,1451.58,0.09%,-0.99%,-0.97%,1.95,0.72%,15.57%,-4.73%,-4.44%,1.71%,1.93%,2.2,0.99,0.020945666,-1.27%,-1.98%,2.39%,-9.04%,20.14%,45.15,1.08%,-0.61%,50,267,133,354,118,133,212,335,138,313,25,198,259,122,245
27,CMCSA,Comcast Corporation,2896,108,1,3,5,4,18,8,5,15,13,9,4,9,6,0,8,152323.42,8.73,1.9,13.79,-60.2,12.65,3.23,2,1.24,85.6,1.01,-4.7,2.39,19672.95,1,Communication Services,Telecom Services,USA,30.16,35.92,-0.14%,20371019,4.37,1.25,32.07,-10.40%,6.90%,7.40%,6.20%,5.40%,0.8,0.8,1.21,68.50%,11.60%,4.40%,1/26/2023 8:30,4277,4164.55,0.73%,-0.01%,-1.83%,2.13,-0.31%,10.63%,-22.79%,2.72%,2.00%,2.11%,2.3,1.04,0.023663697,-1.16%,-5.52%,-1.32%,-25.82%,26.52%,42.45,0.79%,-0.92%,46,82,128,105,458,215,130,388,333,245,102,251,172,23,218
28,AVGO,Broadcom Inc.,2898,108,0,8,16,7,2,15,6,2,14,12,5,0,2,9,10,267560.37,14.39,11.41,27.68,76.8,6.62,2.89,17.4,1.69,80.7,1.19,8.97,13.35,2291.34,1.11,Technology,Semiconductors,USA,21.39,636.17,-0.48%,1722613,2.28,7.78,21.16,45.80%,9.40%,13.50%,57.40%,21.40%,2.5,2.3,1.64,67.00%,44.20%,36.60%,3/2/2023 16:30,418,414.94,0.10%,-7.69%,3.32%,2.15,0.82%,33.20%,6.14%,13.78%,2.24%,2.26%,2,0.75,0.023342817,2.58%,5.66%,19.38%,-1.90%,53.27%,58.61,-0.29%,-0.19%,23,204,410,186,60,387,157,57,375,314,141,17,55,236,276
29,PHM,"PulteGroup, Inc.",2959,109,16,2,2,8,3,19,12,1,3,3,16,1,0,8,15,12907.15,8.01,1.44,31.35,48.3,-5.58,1.13,18.6,0.3,94.3,3.27,4.93,23.82,2639.57,1.33,Consumer Cyclical,Residential Construction,USA,5.06,56.66,0.48%,2105658,0.55,0.8,12.26,40.60%,9.20%,13.60%,32.30%,22.60%,,,0.23,29.80%,21.20%,16.00%,1/31/2023 8:30,227.12,223.34,0.77%,-2.80%,-1.04%,2.77,2.24%,45.62%,26.90%,24.45%,2.44%,2.68%,2.2,0.8,0.027532651,3.41%,4.19%,25.45%,-6.95%,61.74%,60.89,0.80%,-0.32%,419,61,72,206,90,485,326,46,89,101,413,40,22,209,380
30,TEL,TE Connectivity Ltd.,2936,109,7,10,9,9,8,5,9,5,4,3,5,6,4,11,14,39993.6,16.28,3.48,38.53,10.3,16.52,1.89,10.6,0.37,95.5,1.17,-2.24,7.95,1841.66,1.32,Technology,Electronic Components,Switzerland,17.81,124.68,-0.38%,1263761,1.62,2.45,50.43,11.70%,11.00%,6.00%,21.00%,16.30%,1.7,1,0.3,31.90%,15.90%,13.90%,1/25/2023 8:30,317,315.82,0.20%,-10.81%,-4.05%,2.01,1.18%,7.00%,-3.52%,8.61%,1.77%,1.96%,2.4,0.69,0.022457491,-1.46%,-2.15%,1.54%,-9.81%,19.01%,45.42,0.02%,-0.40%,192,256,250,246,221,129,243,141,109,83,137,169,102,283,375
31,FANG,"Diamondback Energy, Inc.",2918,110,11,0,3,1,1,17,0,2,5,1,14,15,13,8,19,23476.12,5.4,1.48,5.03,100,4.4,7.62,17.9,0.42,98.1,2.74,-10.09,-7.07,2448.01,2.05,Energy,Oil & Gas E&P,USA,5.07,125.42,-0.96%,2350287,,2.43,149.53,34.30%,-1.51%,51.60%,31.60%,24.60%,0.8,0.8,0.42,84.20%,66.50%,45.00%,2/21/2023 16:30,177.64,175.17,0.20%,-0.53%,-0.32%,1.96,1.87%,1.53%,-6.66%,-6.92%,3.30%,3.81%,2,0.96,0.043214798,-7.28%,-9.93%,-6.28%,-23.96%,26.06%,39.03,1.42%,-2.34%,290,15,77,27,48,434,9,52,133,33,376,379,337,224,484
32,BWA,BorgWarner Inc.,2945,110,17,2,3,4,2,4,11,10,7,1,12,10,1,10,16,11383.99,8.29,1.52,16.62,77.8,17.3,1.44,5.7,0.59,97.3,2.09,-4.8,15.56,2009.52,1.43,Consumer Cyclical,Auto Parts,USA,11.87,47.38,1.63%,2322029,0.87,0.72,8.51,3.40%,13.63%,10.00%,13.50%,9.40%,1.6,1.2,0.58,19.60%,8.70%,6.00%,2/9/2023 8:30,234.13,232.92,0.10%,-58.55%,-1.19%,2.42,3.59%,36.50%,26.65%,17.71%,2.68%,2.36%,2.3,1.16,0.028915154,-2.18%,-0.30%,18.18%,-7.35%,52.15%,48.4,2.80%,-1.14%,440,70,81,117,59,118,294,255,190,47,307,254,43,263,407
33,CI,Cigna Corporation,2963,110,3,3,4,3,4,6,9,11,9,5,3,16,19,12,3,78726.53,9.21,1.74,13.17,35.4,14.21,1.89,4.5,0.69,91.6,0.92,-11.69,-21.9,1659.49,0.65,Healthcare,Healthcare Plans,USA,12.17,260.21,1.41%,2216510,1.08,0.44,13.29,17.10%,11.27%,33.80%,14.70%,10.50%,,,0.63,,5.30%,3.70%,2/3/2023 8:30,300.88,293.81,0.10%,-16.65%,-1.49%,1.62,-3.43%,-8.02%,9.10%,-21.47%,3.06%,2.36%,2.4,1.34,0.027324084,-6.71%,-11.36%,-11.53%,-23.49%,9.10%,31.56,2.05%,-0.62%,99,87,112,98,119,176,245,296,227,151,79,405,478,305,86
