No.,Ticker,Company,Combined_Score,Market Cap_dr,Forward P/E_dr,P/B_dr,P/Free Cash Flow_dr,EPS growth this year_dr,EPS growth next year_dr,Dividend Yield_dr,Return on Assets_dr,Total Debt/Equity_dr,Institutional Ownership_dr,Float Short_dr,Performance (Month)_dr,Performance (Quarter)_dr,Average Volume_dr,Beta_dr,Market Cap,Forward P/E,P/B,P/Free Cash Flow,EPS growth this year,EPS growth next year,Dividend Yield,Return on Assets,Total Debt/Equity,Institutional Ownership,Float Short,Performance (Month),Performance (Quarter),Average Volume,Beta,Sector,Industry,Country,P/E,Price,Change,Volume,PEG,P/S,P/Cash,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Transactions,Short Ratio,Performance (Week),Performance (Half Year),Performance (Year),Performance (YTD),Volatility (Week),Volatility (Month),Analyst Recom,Relative Volume,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Market Cap_Rank,Forward P/E_Rank,P/B_Rank,P/Free Cash Flow_Rank,EPS growth this year_Rank,EPS growth next year_Rank,Dividend Yield_Rank,Return on Assets_Rank,Total Debt/Equity_Rank,Institutional Ownership_Rank,Float Short_Rank,Performance (Month)_Rank,Performance (Quarter)_Rank,Average Volume_Rank,Beta_Rank,Combined_Rank
12,MSFT,Microsoft Corporation,113,1,17,17,13,7,7,14,2,5,16,1,1,3,1,8,2111233.31,26,11.37,51.93,19.8,14.81,0.97,18.8,0.35,72.4,0.46,3.75,8.63,30914.17,0.91,Technology,Software - Infrastructure,USA,31.07,279.43,1.17%,69474400,2.59,10.34,21.22,24.30%,12.00%,15.50%,39.30%,31.30%,1.9,1.9,0.32,68.20%,40.50%,33.00%,1/24/2023 16:30,7451,7438.05,0.06%,-0.71%,0.46%,111.00%,12.41%,13.88%,-5.08%,16.52%,3.48%,2.21%,1.9,2.25,0.024907848,9.52%,11.64%,10.68%,-11.56%,30.92%,70.18,0.30%,0.87%,2,427,412,305,164,161,346,44,103,401,4,24,52,13,177,2635
11,QCOM,QUALCOMM Incorporated,113,3,5,15,8,4,4,8,1,12,16,2,11,6,3,15,136986.3,10.57,7.2,28.73,45.1,21.78,2.48,24.7,0.9,74.1,0.79,-9.27,-0.81,7743.27,1.28,Technology,Semiconductors,USA,11.55,120.73,0.18%,12292400,,3.19,16.63,47.40%,-7.25%,14.70%,71.10%,41.20%,2.1,1.4,0.82,57.20%,33.50%,27.40%,2/2/2023 16:30,1122,1107.81,0.10%,-6.56%,-0.30%,113.00%,4.81%,-3.40%,-19.75%,9.81%,3.08%,2.67%,2.2,1.59,0.03039841,-0.89%,-3.25%,-4.98%,-25.15%,18.44%,47.24,-0.26%,0.45%,54,121,371,197,95,80,197,17,285,389,48,269,149,63,353,2688
13,COP,ConocoPhillips,114,3,4,8,3,1,19,1,2,5,11,4,16,17,4,16,116795.35,8.6,2.44,9.4,140.3,1.74,5.66,19.9,0.35,83.4,1.01,-15.46,-15.85,6262.39,1.33,Energy,Oil & Gas E&P,USA,6.48,94.39,-2.09%,17055912,0.68,1.49,12.64,65.60%,9.49%,21.60%,38.00%,26.10%,1.5,1.4,0.34,47.80%,34.20%,23.80%,2/2/2023 8:30,1238.89,1217.18,0.10%,-0.50%,-0.14%,195.00%,-9.43%,-16.63%,2.70%,-20.01%,4.69%,3.37%,2,2.72,0.041847653,-9.81%,-15.68%,-13.59%,-31.42%,23.05%,29.22,-2.03%,-0.05%,68,82,188,66,26,457,25,35,105,277,101,391,419,86,378,2704
14,META,"Meta Platforms, Inc.",117,1,12,12,8,18,4,17,4,3,16,7,1,1,1,12,513306.07,17.04,4.11,26.95,-41.7,20.44,0,13.3,0.08,75.2,1.25,10.41,60.88,31989.78,1.16,Communication Services,Internet Content & Information,USA,23.4,195.61,-4.55%,50018664,6.44,4.4,12.6,5.40%,3.63%,23.50%,18.60%,16.00%,2.2,2.2,0.08,78.30%,24.80%,19.90%,2/1/2023 16:30,2639,2203.51,0.25%,-3.15%,-1.57%,86.00%,8.97%,30.80%,-3.94%,62.55%,4.23%,3.23%,2.1,1.56,0.037574766,8.62%,19.28%,30.70%,-17.42%,122.06%,64.61,-2.37%,-2.23%,9,286,279,188,428,89,424,96,52,382,157,7,2,12,297,2708
15,CTSH,Cognizant Technology Solutions Corporation,118,10,6,8,5,10,13,10,4,2,5,8,15,6,5,11,29690.19,11.84,2.4,17.76,9,8.73,2.01,13.1,0.05,93.5,1.33,-13.91,-0.76,4836.54,1.11,Technology,Information Technology Services,USA,13.09,57.79,-1.04%,7121609,2.38,1.53,11.87,4.40%,5.50%,5.60%,19.00%,17.30%,2.2,2.2,0.05,35.90%,15.30%,11.80%,2/2/2023 16:30,512,507.88,0.10%,-0.64%,-0.42%,140.00%,-4.29%,-6.85%,-35.57%,1.05%,2.88%,2.00%,3.1,1.47,0.025263886,-6.89%,-9.03%,-8.73%,-38.17%,12.59%,30.98,-1.11%,0.07%,249,147,184,123,227,326,237,99,45,123,180,370,148,114,274,2846
17,UNH,UnitedHealth Group Incorporated,119,1,11,14,8,7,8,12,7,10,8,1,6,15,7,4,442330.03,16.6,5.64,25.4,17.1,13.44,1.41,8.6,0.74,89.7,0.52,-4.43,-12.79,3392.6,0.69,Healthcare,Healthcare Plans,USA,22.16,469.5,-0.53%,5267040,1.6,1.36,18.93,17.40%,13.89%,10.00%,27.00%,16.80%,,,0.7,,8.80%,6.20%,1/13/2023 8:30,934,929.88,0.10%,-0.11%,-0.68%,143.00%,1.99%,-10.21%,-5.77%,-11.45%,2.09%,1.85%,1.8,1.55,0.019808307,-1.67%,-2.95%,-8.36%,-15.88%,4.40%,42.42,-0.40%,-0.13%,11,272,337,177,174,195,301,174,247,188,7,141,373,160,98,2855
16,RTX,Raytheon Technologies Corporation,119,3,11,6,14,5,6,9,14,6,13,1,7,9,5,10,140167.47,16.45,1.93,80,35.9,16.24,2.3,3.3,0.44,80.9,0.64,-5.63,-4.2,4614.47,1.07,Industrials,Aerospace & Defense,USA,27.26,95.75,-2.38%,8155905,2.03,2.09,22.53,-11.80%,13.40%,2.30%,7.30%,4.50%,1.1,0.8,0.42,0.204,8.10%,7.70%,1/24/2023 8:30,1465.9,1451.58,0.10%,-0.95%,-0.99%,200.00%,-0.26%,11.84%,-0.05%,-5.12%,2.87%,1.91%,2.2,1.77,0.022454308,-2.94%,-3.07%,1.68%,-12.03%,19.28%,41.58,-2.06%,-0.33%,52,265,133,352,118,138,211,333,139,315,23,172,209,121,247,2828
18,ADI,"Analog Devices, Inc.",119,4,12,8,10,4,19,10,9,1,8,5,7,3,7,12,94943.33,17,2.58,35.25,51.6,2.07,1.85,6.8,0,89.3,1.05,-5.27,8.25,3248.85,1.15,Technology,Semiconductors,USA,28.06,185.85,-0.42%,6216152,2.59,7.55,56.84,18.10%,10.82%,18.00%,9.40%,6.80%,2.1,1.5,0.18,65.60%,32.20%,27.30%,2/15/2023 8:30,507.12,504.56,0.36%,-3.82%,0.22%,164.00%,2.25%,25.68%,17.20%,13.30%,2.85%,2.24%,2,1.91,0.025073984,0.28%,4.66%,14.74%,-5.38%,39.23%,55.12,-1.10%,0.69%,82,285,198,229,85,455,245,218,16,196,111,163,55,169,296,2803
19,VRTX,Vertex Pharmaceuticals Incorporated,119,4,14,14,6,5,14,19,2,2,4,5,3,10,15,2,75944.86,19.12,5.46,19.35,42.3,8.36,0,20.5,0.03,95.7,1.05,-1,-5.23,1267.36,0.48,Healthcare,Biotechnology,USA,23.07,295.77,-1.62%,1675418,3.98,8.5,7.05,65.30%,5.80%,29.10%,26.70%,23.60%,4.8,4.7,0.03,87.90%,48.20%,37.20%,2/7/2023 16:30,257,256.21,0.10%,-25.87%,1.22%,212.00%,2.97%,2.82%,19.01%,2.42%,2.50%,2.07%,2.2,1.32,0.022314636,1.57%,-0.96%,0.70%,-9.05%,26.93%,51.75,-1.62%,0.00%,100,335,331,138,106,340,477,32,40,82,112,74,235,359,37,2798
20,MDT,Medtronic plc,120,3,9,6,16,4,19,5,12,8,11,3,9,6,4,5,105896.62,14.72,2.02,172.75,44.2,0.76,3.47,4.4,0.55,84.6,0.89,-7.34,-0.63,6364.91,0.73,Healthcare,Medical Devices,Ireland,25.74,78.29,-1.24%,8838086,12.01,3.44,9.51,5.20%,2.14%,1.30%,7.80%,6.90%,1.8,1.4,0.43,66.70%,18.00%,13.20%,2/21/2023 8:30,1330.2,1328.92,0.10%,-1.46%,1.42%,187.00%,2.05%,-13.61%,-27.04%,0.73%,2.57%,2.09%,2.5,1.39,0.022480521,-3.90%,-4.55%,-8.23%,-31.51%,3.33%,39.16,-1.56%,0.33%,76,215,149,392,100,468,112,299,177,268,71,219,146,83,108,2883
21,V,Visa Inc.,120,1,16,17,9,6,7,15,3,8,1,12,7,5,4,9,455445.09,22.48,12.82,31.62,24.5,14.53,0.83,17.6,0.59,98.9,2.01,-5.04,1.91,5635.92,0.96,Financial,Credit Services,USA,30.38,217.39,-0.03%,18797453,1.96,15.09,28.26,20.10%,15.48%,9.80%,44.40%,28.10%,1.4,1.4,0.59,0.804,63.40%,49.20%,1/26/2023 16:30,2060.78,1613.56,0.15%,-7.53%,0.69%,575.00%,0.58%,11.27%,2.61%,4.64%,2.36%,1.63%,1.8,3.34,0.019780119,-1.35%,-2.59%,4.67%,-7.22%,24.51%,43.4,1.04%,-1.06%,10,391,419,213,143,168,355,56,192,17,296,155,109,97,203,2824
22,VZ,Verizon Communications Inc.,121,2,3,5,12,13,19,1,10,15,18,3,11,7,1,1,153966.15,7.76,1.7,47.39,-4.9,0.83,7.09,5.7,1.65,63.8,0.85,-8.89,-1.76,21477.41,0.34,Communication Services,Telecom Services,USA,7.28,36.79,0.57%,47334195,8.82,1.13,59.1,9.20%,0.0082,1.70%,24.40%,10.10%,0.8,0.7,1.54,56.80%,22.60%,15.50%,1/24/2023 8:30,4205,4198.77,0.03%,-1.50%,-1.64%,167.00%,0.30%,-10.33%,-29.91%,-6.62%,1.77%,1.66%,2.8,2.2,0.019842348,-3.48%,-7.50%,-12.06%,-33.72%,12.20%,33.14,0.71%,-0.14%,45,55,109,285,309,467,10,252,372,444,63,262,165,19,11,2868
23,CI,Cigna Corporation,121,4,4,5,4,5,8,10,12,10,7,4,12,19,13,4,78965.02,9.53,1.81,13.21,35.4,14.34,1.83,4.5,0.69,91.6,0.92,-9.76,-19.49,1545.75,0.66,Healthcare,Healthcare Plans,USA,12.61,269.45,-1.81%,3738035,1.12,0.44,13.33,17.10%,11.27%,33.80%,14.70%,10.50%,,,0.63,,5.30%,3.70%,2/3/2023 8:30,300.88,293.81,0.10%,-17.09%,-1.54%,174.00%,-2.25%,-7.07%,13.45%,-18.68%,2.09%,2.09%,2.4,2.42,0.023306736,-5.73%,-9.31%,-8.34%,-20.78%,14.71%,29.78,-1.96%,0.15%,97,97,121,101,119,177,247,293,232,157,80,279,453,313,89,2855
24,FISV,"Fiserv, Inc.",121,5,8,7,7,2,8,20,14,10,6,7,10,3,7,7,70119.04,12.91,2.22,22.34,96.6,14.13,0,3.2,0.69,92.5,1.23,-8.13,6.14,3395.86,0.86,Technology,Information Technology Services,USA,27.69,108.17,-1.21%,8972129,2.03,3.95,77.74,12.00%,13.63%,25.50%,8.20%,6.10%,1,1,0.68,54.90%,21.10%,14.30%,2/7/2023 8:30,633.6,621.76,0.50%,-48.70%,-0.50%,225.00%,-3.27%,3.43%,10.04%,7.02%,3.78%,2.21%,2.1,2.64,0.028288805,-5.25%,-1.51%,5.76%,-9.47%,24.29%,41.93,-0.83%,-0.38%,107,178,166,158,50,179,501,336,227,141,153,242,73,159,165,2835
27,CMCSA,Comcast Corporation,122,2,4,6,5,19,9,6,16,14,10,5,11,5,1,9,152592.81,8.76,1.9,13.81,-60.2,12.65,3.22,2,1.24,85.6,1.01,-8.6,1.92,19676.56,1,Communication Services,Telecom Services,USA,30.25,36.03,-0.58%,51720142,4.38,1.26,32.13,-10.40%,6.90%,7.40%,6.20%,5.40%,0.8,0.8,1.21,68.50%,11.60%,4.40%,1/26/2023 8:30,4277,4164.55,0.74%,-0.01%,-1.84%,213.00%,2.04%,5.97%,-22.06%,3.03%,2.81%,2.18%,2.4,2.63,0.024146545,-2.30%,-5.50%,-1.50%,-25.59%,26.91%,41.73,0.45%,-1.02%,46,85,130,105,459,216,134,390,334,247,102,256,108,21,216,2849
28,AVGO,Broadcom Inc.,122,1,9,17,8,3,16,7,3,15,13,6,1,2,10,11,266357.66,14.29,11.31,27.56,76.8,6.55,2.92,17.4,1.69,80.7,1.19,3.83,9.84,2189.23,1.11,Technology,Semiconductors,USA,21.22,630.97,-0.87%,7928399,2.26,7.74,21.06,45.80%,9.40%,13.50%,57.40%,21.40%,2.5,2.3,1.64,67.00%,44.20%,36.60%,3/2/2023 16:30,418,414.94,0.10%,-1.17%,3.31%,226.00%,2.63%,26.16%,3.93%,12.85%,2.53%,2.17%,2,3.62,0.02389971,3.78%,5.95%,18.77%,-2.22%,52.02%,59.75,-0.87%,0.00%,22,209,411,191,60,393,157,57,377,318,141,23,47,238,277,2921
26,C,Citigroup Inc.,122,4,2,1,2,16,6,3,18,1,16,10,16,8,1,18,86472.02,6.56,0.47,5.59,-29.9,15.75,4.61,0.6,0,73.7,1.58,-14.61,-3.76,19187.88,1.58,Financial,Banks - Diversified,USA,6.22,44.25,-3.00%,37093956,,1.16,0.08,5.50%,-9.15%,3.90%,7.60%,8.90%,,,1.49,,59.00%,18.40%,1/13/2023 8:30,1936.8,1932.75,0.16%,-0.85%,-0.03%,159.00%,-8.46%,-8.65%,-22.10%,-2.17%,4.06%,2.66%,2.5,1.93,0.038870056,-10.89%,-11.65%,-8.25%,-24.03%,10.61%,33.11,-0.90%,-2.13%,89,34,5,33,400,143,54,447,25,392,228,379,197,22,449,2897
25,FANG,"Diamondback Energy, Inc.",122,12,1,4,2,2,17,1,3,6,2,15,15,13,9,20,23273.37,5.35,1.46,4.98,100,5.03,7.76,17.9,0.42,98.1,2.74,-14.19,-8.67,2360.28,2.04,Energy,Oil & Gas E&P,USA,4.98,123.12,-1.92%,6217518,,2.41,148.24,34.30%,-1.59%,51.60%,31.60%,24.60%,0.8,0.8,0.42,84.20%,66.50%,45.00%,2/21/2023 16:30,177.64,175.17,0.20%,-0.53%,-0.32%,203.00%,-9.41%,-6.32%,4.04%,-8.63%,4.91%,3.89%,2,2.63,0.046539961,-10.48%,-12.11%,-8.35%,-25.35%,23.74%,33.23,-1.59%,-0.33%,293,18,80,27,48,426,7,52,133,34,375,373,309,226,483,2884
29,BWA,BorgWarner Inc.,123,18,3,4,5,3,6,12,10,8,2,13,9,2,11,17,10941.47,8.02,1.47,15.97,77.8,16.52,1.49,5.7,0.59,97.3,2.09,-7.37,11.13,1941.21,1.42,Consumer Cyclical,Auto Parts,USA,11.46,45.74,-2.56%,3403663,0.71,0.69,8.18,3.40%,0.1609,10.00%,13.50%,9.40%,1.6,1.2,0.58,19.60%,8.70%,6.00%,2/9/2023 8:30,234.13,232.94,0.10%,-58.66%,-1.19%,251.00%,-4.59%,23.35%,19.86%,13.64%,2.81%,2.33%,2.3,1.75,0.029951902,-7.22%,-2.93%,14.55%,-10.56%,46.89%,38.13,-1.66%,-0.92%,448,66,81,116,59,132,291,251,193,48,308,222,41,259,404,2919
30,NXPI,NXP Semiconductors N.V.,124,6,7,14,5,4,11,9,5,1,5,14,10,4,11,18,47267.29,12.81,6.18,15.37,55.5,10.65,2.29,12.4,0,94.1,2.38,-8.28,3.33,1986.91,1.53,Technology,Semiconductors,Netherlands,16.8,177.29,-1.23%,2933410,1.68,3.58,12.29,19.80%,9.97%,7.40%,39.80%,17.50%,2.1,1.6,1.5,56.90%,28.60%,21.10%,1/30/2023 16:30,259.66,258.38,0.10%,0.00%,-2.30%,310.00%,1.28%,11.03%,-5.86%,12.19%,3.21%,2.85%,2.3,1.48,0.031699475,-1.45%,-0.67%,5.84%,-10.59%,34.23%,47.39,-1.25%,0.03%,151,174,349,113,80,270,212,115,24,109,340,247,90,255,437,2966
32,NI,NiSource Inc.,125,18,11,6,5,5,15,5,14,16,4,9,2,7,6,2,11615.96,16.34,1.87,13.26,33.2,7.83,3.64,3,1.88,94.6,1.55,1.74,-1.26,3740.73,0.46,Utilities,Utilities - Regulated Gas,USA,16.2,27.47,-1.75%,7542596,2.42,1.99,284.7,14.10%,0.067,3.70%,13.00%,6.30%,0.6,0.4,1.58,63.90%,21.60%,12.80%,2/22/2023 8:30,409.5,404.59,0.38%,-0.30%,-2.43%,168.00%,2.85%,-5.15%,-8.71%,0.18%,2.80%,2.42%,1.8,2.02,0.024390244,0.15%,0.28%,-1.62%,-15.70%,15.52%,50.48,-1.33%,-0.43%,433,262,127,103,124,356,105,349,386,98,222,39,156,144,34,2938
31,PXD,Pioneer Natural Resources Company,125,8,3,6,3,1,19,1,2,3,6,13,16,18,9,17,43479,7.64,1.91,8.76,261.2,0.75,14.96,21.5,0.22,92.5,2.1,-15.79,-17.37,2485.43,1.44,Energy,Oil & Gas E&P,USA,5.87,182.05,-2.38%,5467115,,1.78,36.11,92.10%,-8.82%,35.70%,33.70%,28.80%,1,0.8,0.18,54.40%,41.70%,32.10%,2/22/2023 16:30,237,233.31,0.66%,0.04%,-1.18%,197.00%,-8.42%,-22.39%,-13.07%,-18.55%,4.83%,3.53%,2.5,2.2,0.041087613,-9.01%,-15.54%,-18.65%,-32.23%,2.70%,30.39,-2.56%,0.18%,177,53,131,62,13,469,1,30,75,142,310,397,438,213,410,2921
34,EOG,"EOG Resources, Inc.",126,5,2,8,4,3,18,6,2,3,9,5,18,18,7,18,61906.88,7.46,2.42,11.13,65.5,4.25,3.21,19.6,0.2,89,1.07,-19.32,-17.65,3587.56,1.52,Energy,Oil & Gas E&P,USA,7.78,102.75,-1.66%,11147309,0.38,2.42,10.37,82.00%,20.23%,17.80%,33.60%,26.20%,1.9,1.7,0.15,63.10%,38.90%,30.30%,2/23/2023 16:30,587.72,585.06,0.30%,-0.04%,-0.42%,174.00%,-7.56%,-14.38%,-4.70%,-19.94%,5.04%,3.58%,1.9,3.11,0.043211679,-10.33%,-16.39%,-14.90%,-30.45%,15.27%,30.35,-1.44%,-0.22%,119,48,185,82,64,441,135,38,70,203,118,438,444,152,434,2971
