No.,Ticker,Company,Sector
45,SNPS,"Synopsys, Inc",Technology
46,LIN,Linde Plc,Basic Materials
47,ORLY,"O'Reilly Automotive, Inc",Consumer Cyclical
48,ROK,Rockwell Automation Inc,Industrials
49,WM,"Waste Management, Inc",Industrials
50,XYL,Xylem Inc,Industrials
51,SHW,Sherwin-Williams Co,Basic Materials
52,JCI,Johnson Controls International plc,Industrials
53,FTV,Fortive Corp,Technology
54,ETN,Eaton Corporation plc,Industrials
55,MSFT,Microsoft Corporation,Technology
56,TMO,Thermo Fisher Scientific Inc,Healthcare
57,ODFL,"Old Dominion Freight Line, Inc",Industrials
58,SBUX,Starbucks Corp,Consumer Cyclical
59,VRSN,Verisign Inc,Technology
60,KLAC,KLA Corp,Technology
61,ALGN,"Align Technology, Inc",Healthcare
62,EW,Edwards Lifesciences Corp,Healthcare
63,MTD,"Mettler-Toledo International, Inc",Healthcare
64,GRMN,Garmin Ltd,Technology
65,ZBRA,Zebra Technologies Corp,Technology
66,POOL,Pool Corporation,Industrials
67,JNJ,Johnson & Johnson,Healthcare
68,TJX,"TJX Companies, Inc",Consumer Cyclical
69,A,Agilent Technologies Inc,Healthcare
70,KO,Coca-Cola Co,Consumer Defensive
71,IEX,Idex Corporation,Industrials
72,MKC,"McCormick & Co., Inc",Consumer Defensive
73,EMR,Emerson Electric Co,Industrials
74,TER,"Teradyne, Inc",Technology
75,MDT,Medtronic Plc,Healthcare
76,JBHT,"J.B. Hunt Transport Services, Inc",Industrials
77,FFIV,F5 Inc,Technology
78,BKNG,Booking Holdings Inc,Consumer Cyclical
79,IT,"Gartner, Inc",Technology
80,EQR,Equity Residential Properties Trust,Real Estate
81,CSCO,"Cisco Systems, Inc",Technology
82,PG,Procter & Gamble Co,Consumer Defensive
83,RMD,Resmed Inc,Healthcare
84,TSCO,Tractor Supply Co,Consumer Cyclical
85,CHRW,"C.H. Robinson Worldwide, Inc",Industrials
86,ADBE,Adobe Inc,Technology
87,CL,Colgate-Palmolive Co,Consumer Defensive
88,META,Meta Platforms Inc,Communication Services
89,GWW,W.W. Grainger Inc,Industrials
90,AKAM,Akamai Technologies Inc,Technology
91,PAYC,Paycom Software Inc,Technology
92,ZBH,Zimmer Biomet Holdings Inc,Healthcare
93,OTIS,Otis Worldwide Corp,Industrials
94,AZO,Autozone Inc,Consumer Cyclical
95,HD,"Home Depot, Inc",Consumer Cyclical
96,PNR,Pentair plc,Industrials
97,TEL,TE Connectivity plc,Technology
98,LRCX,Lam Research Corp,Technology
99,MU,Micron Technology Inc,Technology
100,HSIC,Henry Schein Inc,Healthcare
101,PKG,Packaging Corp Of America,Consumer Cyclical
102,NKE,"Nike, Inc",Consumer Cyclical
103,ITW,"Illinois Tool Works, Inc",Industrials
104,CDW,CDW Corp,Technology
105,UNP,Union Pacific Corp,Industrials
106,GOOG,Alphabet Inc,Communication Services
107,PEP,PepsiCo Inc,Consumer Defensive
108,GOOGL,Alphabet Inc,Communication Services
109,EXPD,"Expeditors International Of Washington, Inc",Industrials
110,ROST,"Ross Stores, Inc",Consumer Cyclical
111,NSC,Norfolk Southern Corp,Industrials
112,MMM,3M Co,Industrials
113,AVY,Avery Dennison Corp,Consumer Cyclical
114,AMAT,Applied Materials Inc,Technology
115,HOLX,"Hologic, Inc",Healthcare
116,ALLE,Allegion plc,Industrials
117,LOW,"Lowe's Cos., Inc",Consumer Cyclical
118,PPG,"PPG Industries, Inc",Basic Materials
119,MDLZ,Mondelez International Inc,Consumer Defensive
120,MAS,Masco Corp,Industrials
121,GPC,Genuine Parts Co,Consumer Cyclical
122,AOS,A.O. Smith Corp,Industrials
123,KMB,Kimberly-Clark Corp,Consumer Defensive
124,CTSH,Cognizant Technology Solutions Corp,Technology
125,REGN,"Regeneron Pharmaceuticals, Inc",Healthcare
126,UPS,"United Parcel Service, Inc",Industrials
127,QCOM,"Qualcomm, Inc",Technology
128,APD,Air Products & Chemicals Inc,Basic Materials
129,CVX,Chevron Corp,Energy
130,EBAY,EBay Inc,Consumer Cyclical
131,ABT,Abbott Laboratories,Healthcare
132,NEM,Newmont Corp,Basic Materials
133,FMC,FMC Corp,Basic Materials
134,HSY,Hershey Company,Consumer Defensive
135,MLM,"Martin Marietta Materials, Inc",Basic Materials
136,NVR,NVR Inc,Consumer Cyclical
137,ULTA,Ulta Beauty Inc,Consumer Cyclical
138,MRK,Merck & Co Inc,Healthcare
139,COP,Conoco Phillips,Energy
140,BIIB,Biogen Inc,Healthcare
141,TGT,Target Corp,Consumer Defensive
142,CMI,Cummins Inc,Industrials
143,EOG,"EOG Resources, Inc",Energy
144,HPQ,HP Inc,Technology
145,DOV,Dover Corp,Industrials
146,APTV,Aptiv PLC,Consumer Cyclical
147,DHI,D.R. Horton Inc,Consumer Cyclical
148,DLTR,Dollar Tree Inc,Consumer Defensive
149,EL,"Estee Lauder Cos., Inc",Consumer Defensive
150,BAX,Baxter International Inc,Healthcare
151,MRNA,Moderna Inc,Healthcare
152,INTC,Intel Corp,Technology
153,VRTX,"Vertex Pharmaceuticals, Inc",Healthcare
